location;date;total_cases
Bahamas;13.07.2020;113.0
Bahamas;14.07.2020;116.0
Bahamas;15.07.2020;119.0
Bahamas;16.07.2020;124.0
Bahamas;17.07.2020;129.0
Bahamas;18.07.2020;138.0
Bahamas;19.07.2020;153.0
Bahamas;20.07.2020;174.0
Bahamas;21.07.2020;194.0
Bahamas;22.07.2020;219.0
Bahamas;23.07.2020;274.0
Bahamas;24.07.2020;316.0
Bahamas;25.07.2020;326.0
Bahamas;26.07.2020;342.0
Bahamas;27.07.2020;382.0
Bahamas;28.07.2020;447.0
Bahamas;29.07.2020;484.0
Bahamas;30.07.2020;508.0
Bahamas;31.07.2020;574.0
Bahamas;01.08.2020;599.0
Bahamas;02.08.2020;648.0
Bahamas;03.08.2020;679.0
Bahamas;04.08.2020;715.0
Bahamas;05.08.2020;751.0
Bahamas;06.08.2020;761.0
Bahamas;07.08.2020;830.0
Bahamas;08.08.2020;878.0
Bahamas;09.08.2020;898.0
Bahamas;10.08.2020;945.0
Bahamas;11.08.2020;989.0
Bahamas;12.08.2020;1036.0
Bahamas;13.08.2020;1089.0
Bahamas;14.08.2020;1119.0
Bahamas;15.08.2020;1252.0
Bahamas;16.08.2020;1315.0
Bahamas;17.08.2020;1329.0
Bahamas;18.08.2020;1424.0
Bahamas;19.08.2020;1531.0
Bahamas;20.08.2020;1610.0
Bahamas;21.08.2020;1703.0
Bahamas;22.08.2020;1765.0
Bahamas;23.08.2020;1784.0
Bahamas;24.08.2020;1798.0
Bahamas;25.08.2020;1813.0
Bahamas;26.08.2020;1923.0
Bahamas;27.08.2020;2020.0
Bahamas;28.08.2020;2057.0
Bahamas;29.08.2020;2135.0
Bahamas;30.08.2020;2167.0
Bahamas;31.08.2020;2217.0
Bahamas;01.09.2020;2276.0
Bahamas;02.09.2020;2337.0
Bahamas;03.09.2020;2386.0
Bahamas;04.09.2020;2386.0
Bahamas;05.09.2020;2476.0
Bahamas;06.09.2020;2506.0
Bahamas;07.09.2020;2546.0
Bahamas;08.09.2020;2585.0
Bahamas;09.09.2020;2721.0
Bahamas;10.09.2020;2721.0
Bahamas;11.09.2020;2814.0
Bahamas;12.09.2020;2928.0
Bahamas;13.09.2020;2928.0
Bahamas;14.09.2020;3008.0
Bahamas;15.09.2020;3032.0
Bahamas;16.09.2020;3087.0
Bahamas;17.09.2020;3177.0
Bahamas;18.09.2020;3177.0
Bahamas;19.09.2020;3214.0
Bahamas;20.09.2020;3315.0
Bahamas;21.09.2020;3418.0
Bahamas;22.09.2020;3467.0
Bahamas;23.09.2020;3618.0
Bahamas;24.09.2020;3699.0
Bahamas;25.09.2020;3790.0
Bahamas;26.09.2020;3790.0
Bahamas;27.09.2020;3838.0
Bahamas;28.09.2020;3838.0
Bahamas;29.09.2020;3903.0
Bahamas;30.09.2020;4123.0
Bahamas;01.10.2020;4123.0
Bahamas;02.10.2020;4220.0
Bahamas;03.10.2020;4332.0
Bahamas;04.10.2020;4409.0
Bahamas;05.10.2020;4452.0
Bahamas;06.10.2020;4559.0
Bahamas;07.10.2020;4713.0
Bahamas;08.10.2020;4713.0
Bahamas;09.10.2020;4713.0
Bahamas;10.10.2020;5023.0
Bahamas;11.10.2020;5078.0
Bahamas;12.10.2020;5163.0
Bahamas;13.10.2020;5163.0
Bahamas;14.10.2020;5191.0
Bahamas;15.10.2020;5385.0
Bahamas;16.10.2020;5517.0
Bahamas;17.10.2020;5628.0
Bahamas;18.10.2020;5703.0
Bahamas;19.10.2020;5773.0
Bahamas;20.10.2020;5923.0
Bahamas;21.10.2020;6051.0
Bahamas;22.10.2020;6135.0
Bahamas;23.10.2020;6268.0
Bahamas;24.10.2020;6268.0
Bahamas;25.10.2020;6410.0
Bahamas;26.10.2020;6410.0
Bahamas;27.10.2020;6502.0
Bahamas;28.10.2020;6549.0
Bahamas;29.10.2020;6607.0
Bahamas;30.10.2020;6644.0
Bahamas;31.10.2020;6714.0
Bahamas;01.11.2020;6714.0
Bahamas;02.11.2020;6735.0
Bahamas;03.11.2020;6790.0
Bahamas;04.11.2020;6843.0
Bahamas;05.11.2020;6882.0
Bahamas;06.11.2020;6882.0
Bahamas;07.11.2020;6947.0
Bahamas;08.11.2020;6947.0
Bahamas;09.11.2020;6964.0
Bahamas;10.11.2020;7012.0
Bahamas;11.11.2020;7060.0
Bahamas;12.11.2020;7124.0
Bahamas;13.11.2020;7163.0
Bahamas;14.11.2020;7163.0
Bahamas;15.11.2020;7186.0
Bahamas;16.11.2020;7256.0
Bahamas;17.11.2020;7312.0
Bahamas;18.11.2020;7323.0
Bahamas;19.11.2020;7348.0
Bahamas;20.11.2020;7367.0
Bahamas;21.11.2020;7395.0
Bahamas;22.11.2020;7413.0
Bahamas;23.11.2020;7431.0
Bahamas;24.11.2020;7460.0
Bahamas;25.11.2020;7469.0
Bahamas;26.11.2020;7482.0
Bahamas;27.11.2020;7496.0
Bahamas;28.11.2020;7496.0
Bahamas;29.11.2020;7517.0
Bahamas;30.11.2020;7541.0
Bahamas;01.12.2020;7543.0
Bahamas;02.12.2020;7543.0
Bahamas;03.12.2020;7549.0
Bahamas;04.12.2020;7565.0
Bahamas;05.12.2020;7570.0
Bahamas;06.12.2020;7570.0
Bahamas;07.12.2020;7579.0
Bahamas;08.12.2020;7579.0
Bahamas;09.12.2020;7585.0
Bahamas;10.12.2020;7585.0
Bahamas;11.12.2020;7623.0
Bahamas;12.12.2020;7648.0
Bahamas;13.12.2020;7659.0
Bahamas;14.12.2020;7674.0
Bahamas;15.12.2020;7698.0
Bahamas;16.12.2020;7714.0
Bahamas;17.12.2020;7725.0
Bahamas;18.12.2020;7733.0
Bahamas;19.12.2020;7733.0
Bahamas;20.12.2020;7746.0
Bahamas;21.12.2020;7765.0
Bahamas;22.12.2020;7772.0
Bahamas;23.12.2020;7788.0
Bahamas;24.12.2020;7788.0
Bahamas;25.12.2020;7788.0
Bahamas;26.12.2020;7788.0
Bahamas;27.12.2020;7834.0
Bahamas;28.12.2020;7834.0
Bahamas;29.12.2020;7846.0
Bahamas;30.12.2020;7857.0
Bahamas;31.12.2020;7871.0
Bahamas;01.01.2021;7887.0
Bahamas;02.01.2021;7887.0
Bahamas;03.01.2021;7914.0
Bahamas;04.01.2021;7924.0
Bahamas;05.01.2021;7928.0
Bahamas;06.01.2021;7945.0
Bahamas;07.01.2021;7959.0
Bahamas;08.01.2021;7969.0
Bahamas;09.01.2021;7969.0
Bahamas;10.01.2021;7969.0
Bahamas;11.01.2021;8004.0
Bahamas;12.01.2021;8004.0
Bahamas;13.01.2021;8011.0
Bahamas;14.01.2021;8011.0
Bahamas;15.01.2021;8021.0
Bahamas;16.01.2021;8032.0
Bahamas;17.01.2021;8032.0
Bahamas;18.01.2021;8067.0
Bahamas;19.01.2021;8068.0
Bahamas;20.01.2021;8075.0
Bahamas;21.01.2021;8088.0
Bahamas;22.01.2021;8101.0
Bahamas;23.01.2021;8101.0
Bahamas;24.01.2021;8101.0
Bahamas;25.01.2021;8133.0
Bahamas;26.01.2021;8140.0
Bahamas;27.01.2021;8161.0
Bahamas;28.01.2021;8161.0
Bahamas;29.01.2021;8167.0
Bahamas;30.01.2021;8174.0
Bahamas;31.01.2021;8174.0
Bahamas;01.02.2021;8174.0
Bahamas;02.02.2021;8223.0
Bahamas;03.02.2021;8231.0
Bahamas;04.02.2021;8247.0
Bahamas;05.02.2021;8256.0
Bahamas;06.02.2021;8256.0
Bahamas;07.02.2021;8256.0
